"Cluster_name","Bacteria_Host","Lineage"
"Cluster 8157",";;;;;;","unclassfied_genus__8391"
"Cluster 816","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8392"
"Cluster 8160","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas virosa","Butyricimonas"
"Cluster 8161",";;;;;;","unclassfied_genus__8393"
"Cluster 8162",";;;;;;","unclassfied_genus__8394"
"Cluster 8163",";;;;;;","unclassfied_genus__8395"
"Cluster 8164","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium;s__Ileibacterium valens","Ileibacterium"
"Cluster 8165","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8396"
"Cluster 8166","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__8397"
"Cluster 8167","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thioclava;","Thioclava"
"Cluster 817","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;","Anaerotruncus"
"Cluster 8170","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__8398"
"Cluster 8172","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;","Desulfovibrio"
"Cluster 8173","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp003612565","1XD42-69"
"Cluster 8174",";;;;;;","unclassfied_genus__8399"
"Cluster 8175",";;;;;;","unclassfied_genus__8400"
"Cluster 8178","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;","Faecalibacterium"
"Cluster 8179","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8401"
"Cluster 818","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;","Anaerotruncus"
"Cluster 8181",";;;;;;","unclassfied_genus__8402"
"Cluster 8182","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__MD308 sp000403475","MD308"
"Cluster 8183",";;;;;;","unclassfied_genus__8403"
"Cluster 8184","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;","Acutalibacter"
"Cluster 8185","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8404"
"Cluster 8187",";;;;;;","unclassfied_genus__8405"
"Cluster 8188",";;;;;;","unclassfied_genus__8406"
"Cluster 8189","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8407"
"Cluster 819","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;;","unclassfied_genus__8408"
"Cluster 8191","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp002161175","Lawsonibacter"
"Cluster 8196","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;;","unclassfied_genus__8409"
"Cluster 8198","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8410"
"Cluster 8199","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;;","unclassfied_genus__8411"
"Cluster 82","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;","Eubacterium_G"
"Cluster 8201","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__8412"
"Cluster 8202",";;;;;;","unclassfied_genus__8413"
"Cluster 8203",";;;;;;","unclassfied_genus__8414"
"Cluster 8206",";;;;;;","unclassfied_genus__8415"
"Cluster 8207","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__8416"
"Cluster 8209",";;;;;;","unclassfied_genus__8417"
"Cluster 821","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;","Enterocloster"
"Cluster 8212","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__8418"
"Cluster 8214","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8419"
"Cluster 8215","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__CADBMC01;","CADBMC01"
"Cluster 8216","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia stagnalis","Burkholderia"
"Cluster 8219","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8420"
"Cluster 822",";;;;;;","unclassfied_genus__8421"
"Cluster 8220","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8422"
"Cluster 8221",";;;;;;","unclassfied_genus__8423"
"Cluster 8225","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;","Clostridium_Q"
"Cluster 8226","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;","Schaedlerella"
"Cluster 8227",";;;;;;","unclassfied_genus__8424"
"Cluster 8228",";;;;;;","unclassfied_genus__8425"
"Cluster 8229",";;;;;;","unclassfied_genus__8426"
"Cluster 823","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8427"
"Cluster 8230","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__8428"
"Cluster 8233","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__8429"
"Cluster 8236",";;;;;;","unclassfied_genus__8430"
"Cluster 8237","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 824",";;;;;;","unclassfied_genus__8431"
"Cluster 8240",";;;;;;","unclassfied_genus__8432"
"Cluster 8242","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8433"
"Cluster 8244",";;;;;;","unclassfied_genus__8434"
"Cluster 8245",";;;;;;","unclassfied_genus__8435"
"Cluster 8246","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;","Blautia_A"
"Cluster 8248",";;;;;;","unclassfied_genus__8436"
"Cluster 8249","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;","Clostridium"
"Cluster 825",";;;;;;","unclassfied_genus__8437"
"Cluster 8251","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8438"
"Cluster 8254",";;;;;;","unclassfied_genus__8439"
"Cluster 8256",";;;;;;","unclassfied_genus__8440"
"Cluster 826","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;","Romboutsia"
"Cluster 8261",";;;;;;","unclassfied_genus__8441"
"Cluster 8266",";;;;;;","unclassfied_genus__8442"
"Cluster 8267",";;;;;;","unclassfied_genus__8443"
"Cluster 8268",";;;;;;","unclassfied_genus__8444"
"Cluster 8269","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp002161175","Lawsonibacter"
"Cluster 827","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__An92;s__An92 sp009935845","An92"
"Cluster 8272","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__8445"
"Cluster 8273","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__8446"
"Cluster 8275",";;;;;;","unclassfied_genus__8447"
"Cluster 8276",";;;;;;","unclassfied_genus__8448"
"Cluster 8277",";;;;;;","unclassfied_genus__8449"
"Cluster 8279",";;;;;;","unclassfied_genus__8450"
"Cluster 828","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA3818;","UBA3818"
"Cluster 8280","d__Bacteria;p__Firmicutes_A;;;;;","unclassfied_genus__8451"
"Cluster 8281",";;;;;;","unclassfied_genus__8452"
"Cluster 8282","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp009911595","Lawsonibacter"
"Cluster 8283",";;;;;;","unclassfied_genus__8453"
"Cluster 8284",";;;;;;","unclassfied_genus__8454"
"Cluster 8287","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8455"
"Cluster 829","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__8456"
"Cluster 8290",";;;;;;","unclassfied_genus__8457"
"Cluster 8292","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;","Agathobacter"
"Cluster 8293","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__An92;s__An92 sp009935845","An92"
"Cluster 8295",";;;;;;","unclassfied_genus__8458"
"Cluster 8297",";;;;;;","unclassfied_genus__8459"
"Cluster 8298","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__8460"
"Cluster 8299",";;;;;;","unclassfied_genus__8461"
"Cluster 83",";;;;;;","unclassfied_genus__8462"
"Cluster 830",";;;;;;","unclassfied_genus__8463"
"Cluster 8300",";;;;;;","unclassfied_genus__8464"
"Cluster 8301","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__8465"
"Cluster 8303","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia muris","Adlercreutzia"
"Cluster 8305","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;","Faecalibacterium"
"Cluster 8306",";;;;;;","unclassfied_genus__8466"
"Cluster 8309","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;","Alistipes"
"Cluster 831",";;;;;;","unclassfied_genus__8467"
"Cluster 8310",";;;;;;","unclassfied_genus__8468"
"Cluster 8311",";;;;;;","unclassfied_genus__8469"
"Cluster 8312",";;;;;;","unclassfied_genus__8470"
"Cluster 8315",";;;;;;","unclassfied_genus__8471"
"Cluster 8316",";;;;;;","unclassfied_genus__8472"
"Cluster 832",";;;;;;","unclassfied_genus__8473"
"Cluster 8320",";;;;;;","unclassfied_genus__8474"
"Cluster 8324","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;","CAG-485"
"Cluster 8325","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8475"
"Cluster 8326","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;","CAG-485"
"Cluster 8327",";;;;;;","unclassfied_genus__8476"
"Cluster 8328",";;;;;;","unclassfied_genus__8477"
"Cluster 833","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8478"
"Cluster 8331","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","Flavonifractor"
"Cluster 8334",";;;;;;","unclassfied_genus__8479"
"Cluster 8335",";;;;;;","unclassfied_genus__8480"
"Cluster 8336","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8481"
"Cluster 8337","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;","Faecousia"
"Cluster 8338","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus porci","Streptococcus"
"Cluster 834","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8482"
"Cluster 8341","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295","Schaedlerella"
"Cluster 8342",";;;;;;","unclassfied_genus__8483"
"Cluster 8343",";;;;;;","unclassfied_genus__8484"
"Cluster 8345",";;;;;;","unclassfied_genus__8485"
"Cluster 8346","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;","Faecalibacterium"
"Cluster 8347",";;;;;;","unclassfied_genus__8486"
"Cluster 8348",";;;;;;","unclassfied_genus__8487"
"Cluster 8349","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas;s__Ventrimonas sp003669055","Ventrimonas"
"Cluster 835","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8488"
"Cluster 8350",";;;;;;","unclassfied_genus__8489"
"Cluster 8352",";;;;;;","unclassfied_genus__8490"
"Cluster 8353","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J plexicaudatum","Eubacterium_J"
"Cluster 8354",";;;;;;","unclassfied_genus__8491"
"Cluster 8356",";;;;;;","unclassfied_genus__8492"
"Cluster 8357",";;;;;;","unclassfied_genus__8493"
"Cluster 8358","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;","Enterocloster"
"Cluster 8359","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8494"
"Cluster 836",";;;;;;","unclassfied_genus__8495"
"Cluster 8360","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;","Faecalimonas"
"Cluster 8361","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;","Clostridium_Q"
"Cluster 8362","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;","Faecalimonas"
"Cluster 8364",";;;;;;","unclassfied_genus__8496"
"Cluster 8365",";;;;;;","unclassfied_genus__8497"
"Cluster 8366","d__Bacteria;p__Firmicutes_A;;;;;","unclassfied_genus__8498"
"Cluster 8369",";;;;;;","unclassfied_genus__8499"
"Cluster 837",";;;;;;","unclassfied_genus__8500"
"Cluster 8370",";;;;;;","unclassfied_genus__8501"
"Cluster 8372",";;;;;;","unclassfied_genus__8502"
"Cluster 8374","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8503"
"Cluster 8375",";;;;;;","unclassfied_genus__8504"
"Cluster 8376",";;;;;;","unclassfied_genus__8505"
"Cluster 8377","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525","Acutalibacter"
"Cluster 8378","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315","14-2"
"Cluster 8379",";;;;;;","unclassfied_genus__8506"
"Cluster 838",";;;;;;","unclassfied_genus__8507"
"Cluster 8381","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__8508"
"Cluster 8382",";;;;;;","unclassfied_genus__8509"
"Cluster 8383",";;;;;;","unclassfied_genus__8510"
"Cluster 8384",";;;;;;","unclassfied_genus__8511"
"Cluster 8386","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sporofaciens;s__Sporofaciens sp000403455","Sporofaciens"
"Cluster 8387","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8512"
"Cluster 8389","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__8513"
"Cluster 839","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;","Paramuribaculum"
"Cluster 8390",";;;;;;","unclassfied_genus__8514"
"Cluster 8391","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp003612565","1XD42-69"
"Cluster 8393","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8515"
"Cluster 8394",";;;;;;","unclassfied_genus__8516"
"Cluster 8395","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8517"
"Cluster 8396","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;","Enterocloster"
"Cluster 8397",";;;;;;","unclassfied_genus__8518"
"Cluster 84","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD8-76;s__1XD8-76 sp003611955","1XD8-76"
"Cluster 840","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;","Clostridium_Q"
"Cluster 8400",";;;;;;","unclassfied_genus__8519"
"Cluster 8401",";;;;;;","unclassfied_genus__8520"
"Cluster 8402","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;","Schaedlerella"
"Cluster 8403",";;;;;;","unclassfied_genus__8521"
"Cluster 8404","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;","Phocaeicola"
"Cluster 8407",";;;;;;","unclassfied_genus__8522"
"Cluster 8408",";;;;;;","unclassfied_genus__8523"
"Cluster 8409","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8524"
"Cluster 8410",";;;;;;","unclassfied_genus__8525"
"Cluster 8413","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;","Eubacterium_J"
"Cluster 8415",";;;;;;","unclassfied_genus__8526"
"Cluster 8417","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 842","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum","Erysipelatoclostridium"
"Cluster 8422","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__8527"
"Cluster 8423",";;;;;;","unclassfied_genus__8528"
"Cluster 8425",";;;;;;","unclassfied_genus__8529"
"Cluster 843","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis","Parabacteroides"
"Cluster 8430",";;;;;;","unclassfied_genus__8530"
"Cluster 8434","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 8438","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8531"
"Cluster 844","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;","Mailhella"
"Cluster 8441",";;;;;;","unclassfied_genus__8532"
"Cluster 8442",";;;;;;","unclassfied_genus__8533"
"Cluster 8444","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8534"
"Cluster 8445",";;;;;;","unclassfied_genus__8535"
"Cluster 8446","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8536"
"Cluster 8448",";;;;;;","unclassfied_genus__8537"
"Cluster 845","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8538"
"Cluster 8450","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__8539"
"Cluster 8451","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8540"
"Cluster 8453",";;;;;;","unclassfied_genus__8541"
"Cluster 8455","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__8542"
"Cluster 8458","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp000403275","Kineothrix"
"Cluster 8459","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__8543"
"Cluster 846",";;;;;;","unclassfied_genus__8544"
"Cluster 8461",";;;;;;","unclassfied_genus__8545"
"Cluster 8462",";;;;;;","unclassfied_genus__8546"
"Cluster 8463",";;;;;;","unclassfied_genus__8547"
"Cluster 8464",";;;;;;","unclassfied_genus__8548"
"Cluster 8465",";;;;;;","unclassfied_genus__8549"
"Cluster 8466","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__8550"
"Cluster 8467",";;;;;;","unclassfied_genus__8551"
"Cluster 8470","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8552"
"Cluster 8472","d__Bacteria;p__Firmicutes;;;;;","unclassfied_genus__8553"
"Cluster 8473","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__Faecalibaculum rodentium","Faecalibaculum"
"Cluster 8474","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8554"
"Cluster 8478",";;;;;;","unclassfied_genus__8555"
"Cluster 8479",";;;;;;","unclassfied_genus__8556"
"Cluster 848",";;;;;;","unclassfied_genus__8557"
"Cluster 8480",";;;;;;","unclassfied_genus__8558"
"Cluster 8481","d__Bacteria;p__Actinobacteriota;;;;;","unclassfied_genus__8559"
"Cluster 8482",";;;;;;","unclassfied_genus__8560"
"Cluster 8483","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;","Roseburia"
"Cluster 8484",";;;;;;","unclassfied_genus__8561"
"Cluster 8485",";;;;;;","unclassfied_genus__8562"
"Cluster 8486",";;;;;;","unclassfied_genus__8563"
"Cluster 8487","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques","Mediterraneibacter"
"Cluster 849","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__8564"
"Cluster 8490","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia mucosicola","Adlercreutzia"
"Cluster 8491",";;;;;;","unclassfied_genus__8565"
"Cluster 8492",";;;;;;","unclassfied_genus__8566"
"Cluster 8493","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8567"
"Cluster 8494","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8568"
"Cluster 8496",";;;;;;","unclassfied_genus__8569"
"Cluster 8498",";;;;;;","unclassfied_genus__8570"
"Cluster 8499","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8571"
"Cluster 85",";;;;;;","unclassfied_genus__8572"
"Cluster 850","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;;;","unclassfied_genus__8573"
"Cluster 8500","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;","Fimenecus"
"Cluster 8504","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques","Mediterraneibacter"
"Cluster 8505",";;;;;;","unclassfied_genus__8574"
"Cluster 8507","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp003612565","1XD42-69"
"Cluster 8508","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__8575"
"Cluster 8509","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp003612395","CAG-95"
"Cluster 851",";;;;;;","unclassfied_genus__8576"
"Cluster 8510",";;;;;;","unclassfied_genus__8577"
"Cluster 8511","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__8578"
"Cluster 8512","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;","Roseburia"
"Cluster 8514",";;;;;;","unclassfied_genus__8579"
"Cluster 852",";;;;;;","unclassfied_genus__8580"
"Cluster 8520","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__8581"
