"Cluster_name","Bacteria_Host","Lineage"
"Cluster 10354","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__191"
"Cluster 10355",";;;;;;","unclassfied_genus__192"
"Cluster 1036","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__193"
"Cluster 10360",";;;;;;","unclassfied_genus__194"
"Cluster 10365",";;;;;;","unclassfied_genus__195"
"Cluster 10366",";;;;;;","unclassfied_genus__196"
"Cluster 10368",";;;;;;","unclassfied_genus__197"
"Cluster 1037","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__198"
"Cluster 10370","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__199"
"Cluster 10371",";;;;;;","unclassfied_genus__200"
"Cluster 10373",";;;;;;","unclassfied_genus__201"
"Cluster 10374",";;;;;;","unclassfied_genus__202"
"Cluster 10375","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__203"
"Cluster 10376",";;;;;;","unclassfied_genus__204"
"Cluster 10377",";;;;;;","unclassfied_genus__205"
"Cluster 10378","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__206"
"Cluster 10379","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403255","14-2"
"Cluster 1038","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__207"
"Cluster 10381",";;;;;;","unclassfied_genus__208"
"Cluster 10382","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;","CAG-83"
"Cluster 10385","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp003612285","Butyribacter"
"Cluster 10388",";;;;;;","unclassfied_genus__209"
"Cluster 10389","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;;","unclassfied_genus__210"
"Cluster 1039","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C japonicus","Helicobacter_C"
"Cluster 10390","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__211"
"Cluster 10391","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Caecibacter;","Caecibacter"
"Cluster 10392",";;;;;;","unclassfied_genus__212"
"Cluster 10393",";;;;;;","unclassfied_genus__213"
"Cluster 10394",";;;;;;","unclassfied_genus__214"
"Cluster 10395","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__215"
"Cluster 10396",";;;;;;","unclassfied_genus__216"
"Cluster 10399","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__217"
