"Contig_number","Mapped_Reads_Number"
"NODE_574_length_11910_cov_34.948461||full",4576
"NODE_7428_length_2142_cov_2.580259||lt2gene",73
"NODE_1960_length_5520_cov_7.199634||full",392
"NODE_12646_length_1499_cov_6.873269||full",142
"NODE_16686_length_1263_cov_1.812914||full",23
"NODE_23621_length_1024_cov_2.309598||lt2gene",26
"NODE_8851_length_1895_cov_7.703804||full",264
"NODE_11277_length_1619_cov_3.287724||full",68
"NODE_14833_length_1356_cov_3.092237||full",52
"NODE_19624_length_1145_cov_2.195413||full",53
"NODE_8291_length_1986_cov_4.374417||lt2gene",88
"NODE_11733_length_1577_cov_1.741130||full",38
"NODE_18777_length_1176_cov_2.178412||full_1",16
"NODE_4383_length_3153_cov_4.046159||full",139
"NODE_2584_length_4596_cov_65.269985||full",1900
"NODE_19567_length_1147_cov_3.164835||full",36
"NODE_1504_length_6552_cov_6.493612||full",489
"NODE_20211_length_1125_cov_3.189720||full",68
"NODE_4240_length_3220_cov_4.866035||full",176
"NODE_16025_length_1292_cov_3.793856||full",89
"NODE_4988_length_2867_cov_2.901849||full",93
"NODE_15766_length_1305_cov_2.764800||full",55
"NODE_11360_length_1610_cov_2.632797||full",56
"NODE_8682_length_1924_cov_2.107544||lt2gene",59
"NODE_1955_length_5530_cov_14.594521||full_1",318
"NODE_2375_length_4859_cov_4.888843||full",263
"NODE_3572_length_3626_cov_4.929992||full",194
"NODE_4333_length_3174_cov_4.309394||full",197
"NODE_9322_length_1831_cov_3.472410||full",124
"NODE_4323_length_3177_cov_8.220051||full",269
"NODE_2438_length_4764_cov_8.770015||full",430
"NODE_13963_length_1409_cov_2.723781||lt2gene",39
"NODE_13164_length_1463_cov_3.420455||full",55
"NODE_14822_length_1357_cov_2.088326||full",35
"NODE_6668_length_2307_cov_6.835258||full",209
"NODE_577_length_11857_cov_7.453313||full",1002
"NODE_7209_length_2191_cov_4.037453||full",90
"NODE_5814_length_2551_cov_3.230369||full",130
"NODE_5417_length_2698_cov_3.860008||full",124
"NODE_18235_length_1196_cov_1.649430||full",25
"NODE_605_length_11515_cov_5.743630||full",752
"NODE_1230_length_7402_cov_47.975364||full",3767
"NODE_13705_length_1426_cov_4.401167||full",91
"NODE_9904_length_1762_cov_4.033978||full",73
"NODE_8882_length_1891_cov_5.025599||full",100
"NODE_18309_length_1193_cov_2.227592||full",39
"NODE_14237_length_1392_cov_2.459237||full",50
"NODE_18184_length_1197_cov_3.375657||full",42
"NODE_4888_length_2912_cov_5.454673||full",280
"NODE_15112_length_1340_cov_2.458366||lt2gene",33
"NODE_22453_length_1055_cov_3.356000||full",55
"NODE_13657_length_1429_cov_3.668850||full",51
"NODE_13939_length_1410_cov_18.104059||full",420
"NODE_18350_length_1191_cov_7.289613||full",406
"NODE_18751_length_1177_cov_2.385027||full",58
"NODE_5059_length_2840_cov_4.002873||full",122
"NODE_7570_length_2110_cov_5.166910||full",135
"NODE_7172_length_2198_cov_1.681288||full",51
"NODE_6427_length_2365_cov_2.609957||lt2gene",65
"NODE_13890_length_1414_cov_2.104489||full",29
"NODE_15927_length_1297_cov_3.008052||full",37
"NODE_9000_length_1877_cov_2.604281||full",56
"NODE_9980_length_1753_cov_2.535925||full",45
"NODE_2800_length_4326_cov_39.583470||full",2106
"NODE_17962_length_1206_cov_2.646394||lt2gene",63
"NODE_5574_length_2633_cov_4.892552||lt2gene",145
"NODE_21801_length_1076_cov_2.190989||lt2gene",39
"NODE_13478_length_1442_cov_2.046143||full",31
"NODE_19696_length_1143_cov_2.090074||full",25
"NODE_13070_length_1470_cov_1.750530||full",14
"NODE_6082_length_2461_cov_4.115544||full",260
"NODE_17945_length_1206_cov_6.965248||full",131
"NODE_7457_length_2134_cov_4.538240||full",129
"NODE_7786_length_2071_cov_3.223214||full",58
"NODE_14418_length_1381_cov_2.417044||full",66
"NODE_24470_length_1002_cov_1.973601||full",20
"NODE_2135_length_5244_cov_5.230295||full",392
"NODE_142_length_21726_cov_7.731346||full",1962
"NODE_7201_length_2193_cov_3.064079||full",133
"NODE_9888_length_1764_cov_2.506729||full",52
"NODE_14922_length_1350_cov_2.779923||lt2gene",42
"NODE_21939_length_1072_cov_1.689282||lt2gene",44
"NODE_8420_length_1964_cov_3.690938||full",90
"NODE_16042_length_1291_cov_89.744337||full",1252
"NODE_7099_length_2211_cov_3.548237||full",109
"NODE_1363_length_6950_cov_5.062799||full",494
"NODE_3535_length_3650_cov_3.724339||full",142
"NODE_8691_length_1922_cov_3.070166||full",58
"NODE_17831_length_1210_cov_3.184416||lt2gene",40
"NODE_17918_length_1208_cov_1.581960||lt2gene",19
"NODE_7586_length_2108_cov_3.625426||full",89
"NODE_3896_length_3412_cov_5.343759||full",261
"NODE_846_length_9352_cov_22.560826||full",2367
"NODE_664_length_10726_cov_5.344954||full",628
"NODE_14737_length_1361_cov_5.341501||lt2gene",159
"NODE_5793_length_2557_cov_2.450440||full",95
"NODE_13407_length_1446_cov_4.339324||full",66
"NODE_3074_length_4047_cov_3.917084||full_1",107
"NODE_3574_length_3625_cov_4.682633||full",249
"NODE_806_length_9539_cov_5.121679||full",436
"NODE_20304_length_1122_cov_2.964386||full",63
"NODE_13589_length_1434_cov_10.075417||full",148
"NODE_4652_length_3011_cov_5.532815||full_1",142
"NODE_4139_length_3264_cov_4.441259||full",231
"NODE_21000_length_1100_cov_11.200000||full",145
"NODE_17484_length_1226_cov_2.770282||lt2gene",47
"NODE_18008_length_1204_cov_2.128808||full",20
"NODE_438_length_13640_cov_34.683548||full",5927
"NODE_5602_length_2625_cov_6.226848||full",210
"NODE_4266_length_3206_cov_5.491273||full",184
"NODE_10647_length_1679_cov_3.298030||full",81
"NODE_5705_length_2589_cov_4.356748||full",124
"NODE_1691_length_6088_cov_4.566053||full",294
"NODE_2492_length_4703_cov_4.314329||full",363
"NODE_5181_length_2792_cov_7.167702||full",213
"NODE_19323_length_1155_cov_2.936364||full",38
"NODE_12003_length_1555_cov_3.130000||full",52
"NODE_13943_length_1410_cov_3.668635||full",75
"NODE_7538_length_2118_cov_3.500242||full",71
"NODE_3526_length_3657_cov_3.448917||full",151
"NODE_17060_length_1246_cov_1.692695||lt2gene",21
"NODE_19420_length_1152_cov_2.824066||full",34
"NODE_22700_length_1048_cov_3.001007||full",42
"NODE_264_length_17400_cov_36.971116||full",6687
"NODE_2388_length_4844_cov_6.532261||full",322
"NODE_3381_length_3773_cov_10.300430||full",467
"NODE_12216_length_1534_cov_4.453685||full",122
"NODE_19899_length_1136_cov_2.185939||lt2gene",49
"NODE_3895_length_3412_cov_7.490021||full",326
"NODE_485_length_13120_cov_6.201607||full_1",635
"NODE_19759_length_1141_cov_2.901473||lt2gene",34
"NODE_2384_length_4847_cov_6.599958||full",454
"NODE_10391_length_1710_cov_3.016314||full",87
"NODE_9310_length_1832_cov_5.691052||full",119
"NODE_12391_length_1520_cov_2.212969||full",35
"NODE_5953_length_2500_cov_2.444990||full",65
"NODE_17301_length_1235_cov_2.248305||full",30
"NODE_36_length_34282_cov_28.816928||full",10488
"NODE_6068_length_2465_cov_4.819917||full",154
"NODE_1142_length_7713_cov_32.570645||full",2646
"NODE_22736_length_1047_cov_3.025202||full",57
